Game,Projected_rating
of orcs and men,55
far cry 3,96
hitman: absolution,85
dishonored,85
ridge racer unbounded,69
the darkness ii,79
carmageddon,79
the lord of the rings online: mines of moria,69
max payne 3,83
resident evil 3: nemesis,83
resident evil: the umbrella chronicles,70
resident evil: operation raccoon city,92
resident evil: revelations,64
halo 4,92
syndicate,69
jagged alliance: back in action,70
borderlands 2,85
gotham city impostors,69
soulcalibur v,79
bloodrayne 2,80
zelda ii: the adventure of link,79
oil rush,69
deep black,92
unstoppable gorg,70
kingdoms of amalur: reckoning,77
the secret world,92
street fighter x tekken,69
super mario bros.: the lost levels,79
new super mario bros. 2,79
resident evil 6,79
metroid,79
castlevania: the adventure,70
call of duty: black ops ii,83
castlevania: symphony of the night,79
castlevania: lament of innocence,80
guild wars 2,89
tales of innocence,69
tales of xillia 2,60
kingdom hearts 3d: dream drop distance,70
phantasy star iv: the end of the millennium,69
phantasy star iii: generations of doom,69
phantasy star ii,70
tekken 3d: prime edition,60
planetside 2,79
assassin's creed iii,87
sleeping dogs,77
darksiders ii,77
awesomenauts,69
lollipop chainsaw,69
ratchet & clank,79
tom clancy's ghost recon: future soldier,79
tom clancy's ghost recon advanced warfighter,70
medal of honor: warfighter,79
xcom: enemy unknown,85
world of warcraft: mists of pandaria,92
natural selection 2,60
torchlight ii,79
dustforce dx,69
journey,92
flower,79
little inferno,79
wizorb,70
counter-strike: global offensive,83
f1 2012,69
the amazing spider-man,80
spec ops: the line,83
tony hawk's pro skater hd,70
dead or alive 5,92
hotline miami,83
war of the roses,80
professor layton vs. phoenix wright: ace attorney,79
metal slug,70
hawken,69
metal slug 3,79
metal slug 4,70
fire emblem: shadow dragon and the blade of light,69
fire emblem: awakening,79
gradius,70
epic mickey 2: the power of two,92
jak and daxter: the precursor legacy,77
jak ii,92
jak 3,79
wipeout 2048,70
soulcalibur,70
spyro 2: ripto's rage!,79
spyro: year of the dragon,79
skylanders: giants,70
zombiu,69
fable: the journey,60
a valley without wind,70
007 legends,69
streets of rage 3,69
wild arms,70
wario land ii,70
wario land 3,69
mega man 2,78
mega man 3,79
mega man 6,70
ratchet & clank: going commando,79
ratchet & clank: up your arsenal,79
painkiller: hell & damnation,69
ratchet & clank: full frontal assault,70
family guy: back to the multiverse,69
painkiller: recurring evil,70
shellshock: nam '67,69
the walking dead: season one,83
baldur's gate: enhanced edition,69
might & magic: duel of champions,69
magic: the gathering - duels of the planeswalkers 2013,70
rift: storm legion,70
fez,83
a game of dwarves,60
krater: shadows over solside,70
naval war: arctic circle,60
yakuza 2,79
yakuza 5,80
plague inc.,70
warlock: master of the arcane,80
blacklight: retribution,69
mark of the ninja,80
dust: an elysian tail,79
trials evolution,69
fifa 13,80
new super mario bros. u,79
nintendo land,60
sonic & all-stars racing transformed,79
the cave,69
mighty switch force! hyper drive edition,60
bioforge,80
canabalt,69
pokémon conquest,70
thomas was alone,79
mario party 9,60
warp,70
deadlight,69
chivalry: medieval warfare,69
quantum conundrum,70
prince of persia,79
dragonsphere,80
motorstorm: rc,70
dragon ball z for kinect,60
game dev tycoon,79
alan wake's american nightmare,79
animal crossing: new leaf,80
adventure time: hey ice king! why'd you steal our garbage?!,80
fallout tactics: brotherhood of steel,69
star wars: jedi knight - jedi academy,83
half-life,83
half-life: opposing force,83
counter-strike,83
the bureau: xcom declassified,79
counter-strike: condition zero,79
metal gear rising: revengeance,77
final fantasy xiv online,79
final fantasy xi online,79
starcraft ii: heart of the swarm,80
bioshock infinite,77
metro: last light,83
magic carpet 2: the netherworlds,70
syberia,83
wizardry 8,69
duke nukem ii,70
duke nukem,69
the last of us,87
grand theft auto v,85
aliens: colonial marines,69
the legend of zelda: a link to the past,85
the legend of zelda: oracle of seasons,79
the legend of zelda: oracle of ages,79
super mario bros. 2,77
super mario bros. 3,83
super mario world,83
donkey kong 3,69
super metroid,92
castlevania,79
castlevania ii: simon's quest,70
super castlevania iv,80
castlevania: lords of shadow - mirror of fate,60
tales of phantasia,70
dead space 3,92
dmc: devil may cry,85
mechwarrior online,60
crysis 3,77
simcity,79
god of war: ascension,80
tom clancy's splinter cell: blacklist,83
gears of war: judgment,69
eve: dust 514,60
brothers: a tale of two sons,85
beyond: two souls,87
flow,79
sniper: ghost warrior 2,69
company of heroes 2,79
professor layton and the azran legacy,70
metal slug 2,79
phoenix wright: ace attorney − dual destinies,70
fire emblem: genealogy of the holy war,69
fire emblem: thracia 776,69
final fight,79
final fight 2,69
advance wars: days of ruin,70
game & wario,60
wario's woods,69
mega man ii,70
mega man iii,70
mega man iv,70
mega man v,70
mega man xtreme,70
mega man xtreme 2,69
ratchet: deadlocked,79
sly cooper: thieves in time,79
dragon quest,70
dragon quest viii: journey of the cursed king,70
remember me,79
fuse,69
mars: war logs,69
the walking dead: survival instinct,69
army of two: the devil's cartel,70
dead island: riptide,79
killzone: mercenary,60
arma 3,79
amnesia: a machine for pigs,92
star trek,92
age of wushu,60
akaneiro: demon hunters,70
command & conquer,69
europa universalis iv,80
gone home,83
neverwinter,79
outlast,80
path of exile,85
warface,69
lost planet 3,69
injustice: gods among us,83
deadpool,92
killzone: shadow fall,92
rayman legends,83
assassin's creed iv: black flag,86
defiance,70
call of juarez: gunslinger,83
battlefield 4,83
saints row iv,83
omikron: the nomad soul,64
stargate sg-1 unleashed,70
far cry 3: blood dragon,83
batman: arkham origins,92
marvel heroes 2016,69
dungeonland,70
evoland,79
fast & furious: showdown,70
call of duty: ghosts,83
poker night 2,69
zeno clash ii,69
slender: the arrival,69
lego marvel super heroes,79
payday 2,83
antichamber,80
need for speed rivals,79
sanctum 2,69
ride to hell: retribution,69
dark,70
forza motorsport 5,80
grid 2,69
war thunder,79
new super luigi u,60
lego city undercover,69
super mario 3d world,82
magic 2014 — duels of the planeswalkers,69
pikmin 3,79
muramasa: the demon blade,79
the legend of zelda: the wind waker hd,80
pokémon x,80
pokémon y,79
spartacus legends,60
mario party: island tour,60
toki tori 2,69
total war: rome ii,79
rise of the triad,60
commander keen: keen dreams,70
lightning returns: final fantasy xiii,79
vendetta online,69
luigi's mansion: dark moon,80
mystery house,70
lords of midnight,70
tomb raider: gold,70
half-life: blue shift,83
thief,79
baldur's gate ii: shadows of amn,80
bioshock,92
indiana jones and the fate of atlantis,83
sam & max hit the road,79
resident evil,80
empire: total war,79
blackthorne,69
the lost vikings,79
wildstar,54
descent 3,70
descent ii,69
icewind dale,79
planescape: torment,79
the longest journey,79
halo 2,83
halo 3,85
the elder scrolls online,87
donkey kong country,83
donkey kong land,69
donkey kong country 2: diddy's kong quest,83
donkey kong land 2,69
donkey kong country 3: dixie kong's double trouble!,83
donkey kong land iii,69
dk: king of swing,70
metroid fusion,79
metroid: zero mission,79
vampire killer,70
castlevania iii: dracula's curse,70
watch_dogs,85
castlevania: circle of the moon,69
castlevania: harmony of dissonance,70
castlevania: aria of sorrow,70
golden sun,79
golden sun: the lost age,80
lufia: the legend returns,69
castlevania: lords of shadow 2,79
tales of symphonia,79
south park: the stick of truth,80
hearthstone,85
tom clancy's ghost recon phantoms,60
fire emblem gaiden,69
fire emblem: the blazing blade,80
suikoden ii,79
kuru kuru kururin,70
salamander,69
mighty final fight,70
advance wars,79
advance wars 2: black hole rising,80
"warioware, inc.: mega microgames!",80
mega man 7,70
mega man 8,70
mega man battle network,69
mega man battle network 2,69
mega man battle network 3 white,70
mega man battle chip challenge,69
mega man zero,69
dragon quest ii: luminaries of the legendary line,70
dragon quest iii: the seeds of salvation,70
dragon quest iv: chapters of the chosen,70
dragon quest v: hand of the heavenly bride,70
descent,70
carmageddon tdr 2000,70
dragon age: inquisition,87
black & white 2,69
destiny,87
driveclub,79
infamous: second son,96
alone in the dark,70
dreamfall chapters,79
banished,79
magicka: wizard wars,60
wolfenstein: the new order,92
titanfall,92
grimgrimoire,70
bayonetta 2,79
the crew,79
bloodnet,69
the last tinker: city of colors,70
mario kart 8,82
dark souls ii,85
realms of arkania: star trail,70
nam,70
dragon ball z: battle of z,70
teenage mutant ninja turtles: out of the shadows,69
caller's bane,70
battleblock theater,69
bubble bobble,79
starforge,70
flatout,79
flatout 2,79
duck hunt,79
project spark,69
dead island: epidemic,60
warframe,83
donkey kong country: tropical freeze,79
broken sword 5: the serpent's curse,79
disney infinity,70
"papers, please",83
takedown: red sabre,60
the vanishing of ethan carter,85
elite: dangerous,79
planetary annihilation,69
surgeon simulator 2013,69
the wolf among us,83
tri: of friendship and madness,69
transistor,85
middle-earth: shadow of mordor,85
spelunky,79
ftl: faster than light,80
"about love, hate and the other ones",70
broken age,79
wrc 4 fia world rally championship,70
the dark eye: demonicon,70
battlefield 4: second assault,70
battlefield 4: naval strike,70
battlefield 4: dragon's teeth,70
battlefield 4: final stand,70
the walking dead: season two,83
door kickers,70
wasteland 2,79
godus,70
plants vs. zombies: garden warfare,79
don't starve,80
world of warcraft: warlords of draenor,79
risk of rain,79
diablo iii: reaper of souls,80
afterlife,70
the dig,79
duke nukem 3d,83
final fantasy vii,85
starcraft ii: legacy of the void,79
prototype,80
halo 3: odst,79
the legend of zelda: ocarina of time,83
the legend of zelda: phantom hourglass,79
the legend of zelda: spirit tracks,79
super mario 64,85
new super mario bros.,77
super mario galaxy,83
donkey kong 64,67
dk: jungle climber,70
metroid prime hunters,70
metroid prime 3: corruption,79
metroid prime: trilogy,79
dark cloud,69
prison architect,80
fire emblem: the binding blade,69
fire emblem: shadow dragon,79
suikoden iii,69
sin and punishment,69
gradius v,70
pocky & rocky with becky,69
pillars of eternity,85
prisoner of ice,70
final fight one,70
wario: master of disguise,69
warioware: touched!,70
mega man & bass,69
mega man x8,69
mega man battle network 3 blue,70
mega man battle network 4 red sun,70
mega man battle network 5: team protoman,70
mega man battle network 5: team colonel,69
mega man zero 2,69
mega man zero 3,69
mega man zero 4,69
war for the overworld,69
carmageddon: reincarnation,70
the witcher 3: wild hunt,86
metal gear solid v: the phantom pain,85
star wars battlefront,85
hotline miami 2: wrong number,83
punch-out!!,69
zack & wiki: quest for barbaros' treasure,92
mario kart ds,79
xenoblade chronicles x,79
mad max,86
sonic lost world,70
the incredible adventures of van helsing,69
animal crossing: wild world,79
lego star wars: the complete saga,80
kirby 64: the crystal shards,79
the mighty quest for epic loot,60
dig dug ii: trouble in paradise,70
big brain academy,70
ducktales: remastered,55
scribblenauts unlimited,69
survarium,60
prototype 2,79
nihilumbra,69
the stanley parable,85
dying light,85
the order: 1886,96
euro truck simulator 2,80
kerbal space program,85
dream,60
electronic super joy,69
dungeon defenders ii,70
war of the monsters,60
tropico 5,79
the sims 4,85
rogue legacy,79
nuclear throne,79
back to the future: the game,79
arcania: gothic 4,70
grand theft auto: liberty city stories,79
1080° snowboarding,69
paper mario,83
mario & luigi: partners in time,70
harvest moon: friends of mineral town,69
mario golf,69
mario tennis,80
f-zero: gp legend,70
re-volt,79
wave race 64,70
adventures of lolo,69
mother 3,79
kirby: canvas curse,70
kirby: squeak squad,70
kirby mass attack,70
kirby's return to dream land,69
pajama sam 3: you are what you eat from your head to your feet,70
evolve,69
air conflicts: pacific carriers,70
mario sports mix,69
tomba! 2 : the evil swine return,70
star wars: bounty hunter,69
sonic the hedgehog 2,83
snake rattle n roll,70
pier solar and the great architects,70
poképark wii: pikachu's adventure,80
the legend of kage,69
hogan's alley,70
wild gunman,69
the age of decadence,60
brunswick pro bowling,70
alien: isolation,87
d4: dark dreams don't die - season 1,69
ea sports ufc,60
octodad: dadliest catch,79
halo: spartan assault,69
draw a stickman: epic,70
deponia,79
pandora's tower,69
project cars,79
tokyo mirage sessions #fe,32
goat simulator,79
after burner ii,70
twisted metal: black,70
super mario rpg: legend of the seven stars,79
q.u.b.e.,79
batman: arkham knight,86
cannon fodder,69
oddworld: new 'n' tasty,79
strife,69
world of warships,69
pixel piracy,70
smite,79
forced,69
costume quest 2,69
ether one,80
raiden iv overkill,69
donkey kong jr. math,70
steamworld dig,79
futurama,70
the swapper,79
broforce,79
resogun,79
viscera cleanup detail,79
borderlands: the pre-sequel,83
"invisible, inc.",79
not a hero,69
shadow warrior,79
blood bowl 2,69
hitman go,69
star wars: jedi starfighter,70
jade empire: special edition,79
the last guardian,82
star wars: rogue squadron,69
final fantasy xv,86
final fantasy tactics advance,80
medieval ii: total war,79
medieval ii: total war - kingdoms,69
marvel: ultimate alliance 2,79
resident evil 5,77
the legend of zelda: majora's mask,85
dark cloud 2,79
ty the tasmanian tiger,70
apollo justice: ace attorney,70
pokémon blue,85
pokémon yellow,79
pokémon red,80
wild arms 3,70
advance wars: dual strike,79
wario land: shake it!,69
warioware: smooth moves,69
mega man legends 2,70
mega man battle network 6: cybeast falzar,70
mega man battle network 6: cybeast gregar,70
homefront: the revolution,83
grim dawn,79
indigo prophecy,80
rayman,79
red dead revolver,70
manhunt,79
mirror's edge catalyst,83
tom clancy's the division,86
new super mario bros. wii,79
super paper mario,79
mlb the show 16,70
mario strikers charged,69
pokémon mystery dungeon: red rescue team,69
pokémon mystery dungeon: blue rescue team,69
pokémon mystery dungeon: explorers of sky,70
pokémon snap,79
mario party ds,69
mario kart 64,85
star fox 64,79
destroy all humans!,70
destroy all humans! 2,70
bully,80
earthbound,85
cobalt,80
starbound,79
a virus named tom,70
dear esther,80
lego harry potter: years 1-4,80
lego harry potter: years 5-7,79
mad father,70
yoshi's story,69
no man's sky,91
a dark room,60
excitebike 64,70
f-zero x,70
f-zero,79
kirby's dream course,70
kid icarus,69
quantum break,83
dragon's dogma,79
mario super sluggers,69
mario hoops 3-on-3,69
pokémon ranger: guardian signs,70
city connection,69
a boy and his blob,70
conception ii: children of the seven stars,69
child of light,85
classic british motor racing,70
dead rising,77
excitebots: trick racing,70
little king's story,69
lost in shadow,70
marvel: ultimate alliance,80
metal slug anthology,70
monster jam,70
rainbow moon,69
scribblenauts unmasked: a dc comics adventure,69
phantom brave,70
secret files: tunguska,70
snk arcade classics vol. 1,80
mighty no. 9,69
metal gear solid v: ground zeroes,83
pixeljunk monsters,70
sonic cd,79
the banner saga,79
reus,70
wonder boy,69
planet explorers,69
7 days to die,69
awesomenauts assemble!,60
assetto corsa,69
the witness,77
runescape,79
nosgoth,69
blazblue: chrono phantasma,60
grand theft auto: the trilogy,69
dead rising 2: off the record,80
kingdom rush frontiers,69
the warriors,69
ape escape 2,70
severed,69
glitchspace,70
the incredible adventures of van helsing ii,69
1941: counter attack,60
state of emergency 2,70
red faction,79
black desert,79
xanadu next,70
breath of fire ii,70
contra iii: the alien wars,69
drill dozer,69
tales of zestiria,79
mario vs. donkey kong 2: march of the minis,69
polarium advance,70
art of balance,70
art of fighting 2,70
sonic advance 2,69
sonic advance 3,69
super ghouls 'n ghosts,79
mother russia bleeds,69
edna & harvey: harvey's new eyes,69
street fighter alpha 2,70
killing floor 2,83
code of princess,70
loading human,80
bombshell,69
lego legends of chima: laval's journey,80
r-type,70
space hulk: deathwing,69
blue dragon,70
deathsmiles,70
edge of twilight – return to glory,80
guilty gear 2: overture,80
steins;gate,79
earthlock: festival of magic,80
superhot,85
battle worlds: kronos,69
way of the samurai 3,70
pulstar,60
maniac mansion,79
final fantasy adventure,69
rome: total war - barbarian invasion,69
rome: total war - alexander,70
turok: dinosaur hunter,69
ty the tasmanian tiger 2: bush rescue,70
pokémon silver,80
jak x: combat racing,79
pokémon gold,80
james bond 007: everything or nothing,70
fortnite,86
torment: tides of numenera,83
pikmin 2,79
rayman: raving rabbids,79
battle chess,70
de blob,69
vanquish,79
castle story,70
the revenge of shinobi,70
harvest moon 64,69
bomberman '94,70
ogre battle 64: person of lordly caliber,70
red faction ii,79
sphinx and the cursed mummy,70
samurai shodown,70
fatal fury 2,60
world heroes,60
space harrier ii,60
art of fighting,60
de blob 2,69
max: the curse of brotherhood,69
to the moon,80
chaos on deponia,69
south park: the fractured but whole - steelbook gold edition,70
fatal fury special,60
sengoku,60
stonehearth,79
overgrowth,69
hover: revolt of gamers,70
bullet soul infinite burst,70
dr kawashima's devilish brain training,60
syberia ii,79
grid: autosport,69
gem smashers,70
io,70
mario vs. donkey kong,69
art of fighting 3: the path of the warrior,60
stick it to the man!,70
zero escape: virtue's last reward,70
a hat in time,79
the crow's eye,60
rise & shine,69
aero fighters 2,69
puyo puyo tetris,69
naruto shippuden: ultimate ninja storm 2,69
freedom planet,79
the inner world,69
a story about my uncle,69
always sometimes monsters,69
dreadnought,69
phantom dust,69
inside,83
the legend of zelda: breath of the wild,85
mass effect: andromeda,85
get even,69
little busters!,80
the talos principle,83
tekken 7,83
crimsonland,79
life is strange,87
hellblade: senua's sacrifice,86
rime,79
"warhammer 40,000: eternal crusade",69
teslagrad,79
deathtrap,70
salt and sanctuary,79
resident evil: revelations 2,79
the binding of isaac: rebirth,83
bonk's revenge,70
skyforge,70
kingdom hearts hd 2.5 remix,79
america's army: proving grounds,69
i am bread,70
robocraft,69
race the sun,69
unturned,70
hammerwatch,69
kholat,69
verdun,79
cave story+,79
tacoma,79
lethal league,69
blackguards 2,70
minecraft: story mode,69
the long dark,79
orcs must die! 2,79
the bridge,69
volgarr the viking,70
warhammer quest,70
elliot quest,70
age of zombies,69
assault android cactus,69
aztez,70
axiom verge,79
dreaming sarah,70
world of speed,60
n++,70
sunless sea,79
mutant mudds deluxe,70
darkest dungeon,92
obduction,79
chroma squad,69
cuphead,86
strafe,69
cities: skylines,85
reflex arena,60
gorogoa,79
little nightmares,85
victor vran,69
subject 13,70
the escapists,79
eve: valkyrie,69
back to bed,70
tango fiesta,69
so many me,70
the next penelope,60
speedrunners,69
"zero escape: nine hours, nine persons, nine doors",79
towerfall ascension,79
