Game,is_successful
dragon quest vi: realms of revelation,1
dragon quest ix: sentinels of the starry skies,1
toribash,0
might & magic: clash of heroes,1
lost planet 2,0
faxanadu,0
bejeweled 3,1
vvvvvv,1
arsenal of democracy,1
commander: conquest of the americas,0
mount & blade: warband,1
elven legacy,1
angry birds,1
the kings crusade,1
lead and gold: gangs of the wild west,0
yakuza 3,1
yakuza 4,1
woody two-legs: attack of the zombie pirates,1
dead nation,1
bayonetta,1
trials hd,1
split/second,1
cities xl 2011,1
race driver: grid,1
red steel 2,0
kirby's epic yarn,0
centipede,1
king's quest v: absence makes the heart go yonder!,1
deathspank,1
deathspank: thongs of virtue,1
gothic,1
wwe smackdown vs. raw 2011,0
sonic colors,0
monster hunter tri,1
no more heroes 2: desperate struggle,0
tatsunoko vs. capcom: ultimate all stars,0
toki tori,0
mario party 2,0
super mario kart,1
bob came in pieces,1
artemis - spaceship bridge simulator,1
xenoblade chronicles,1
blaster master,0
rise of the triad: dark war,0
akalabeth: world of doom,1
prince of persia: the two thrones,1
prince of persia: the forgotten sands,1
torchlight,1
enslaved: odyssey to the west,1
alpha protocol,1
dragon ball z: tenkaichi tag team,0
skate 3,1
tropico 3,1
altered beast,0
bloody good time,0
shinobi iii: return of the ninja master,0
naughty bear,1
dig dug,1
kinect adventures,1
motionsports: play for real,0
dead space 2,1
deus ex: human revolution,1
portal 2,1
dragon age: origins,1
dragon age ii,1
l.a. noire,1
devil may cry 4,1
star wars: the old republic,1
mortal kombat,0
minecraft,1
mdk2,1
cossacks: european wars,1
crysis,1
dungeon siege,1
american mcgee's alice,0
battlefield 3,1
battlefield play4free,1
quake 4,1
might & magic: heroes vi,1
final fantasy type-0,1
final fantasy xiii-2,1
final fantasy iii,1
final fantasy tactics: the war of the lions,1
final fantasy legend iii,1
final fantasy v,1
final fantasy vi,1
total war: shogun 2,1
operation flashpoint: red river,1
"warhammer 40,000: dawn of war ii - retribution",1
crysis 2,1
the elder scrolls v: skyrim,1
the witcher 2: assassins of kings,1
rift,1
duke nukem forever,1
gears of war 3,1
bulletstorm,1
batman: arkham city,1
brink,0
hunted: the demon's forge,1
sonic generations,1
trackmania 2: canyon,1
rage,1
powerup heroes,0
uncharted 3: drake's deception,1
f.e.a.r. 3,1
infamous 2,1
dirt 3,1
need for speed: the run,1
serious sam 3: bfe,1
red faction: armageddon,0
ace combat: assault horizon,1
hard reset,0
the legend of zelda: skyward sword,0
dead island,1
assassin's creed: revelations,1
disney universe,1
lego pirates of the caribbean,1
call of juarez: the cartel,1
god of war: chains of olympus,0
driver: san francisco,1
dc universe online,1
"warhammer 40,000: space marine",1
abuse,0
american conquest,1
beneath a steel sky,1
call of duty 4: modern warfare,1
crusader: no regret,0
death rally,1
grand theft auto: vice city,1
majesty: the fantasy kingdom sim,1
realms of the haunting,1
saints row: the third,1
tom clancy's splinter cell: chaos theory,0
worms armageddon,1
nhl 12,1
resident evil: the mercenaries 3d,0
call of duty: modern warfare 3,1
rayman origins,0
heavy fire: afghanistan,1
dead space: extraction,0
uncharted: golden abyss,1
hector: badge of carnage!,1
cities in motion,1
marble arena 2,0
the legend of zelda,1
the legend of zelda: link's awakening dx,1
the legend of zelda: the minish cap,1
the legend of zelda: ocarina of time 3d,1
alice: madness returns,1
the lord of the rings: war in the north,1
red orchestra 2: heroes of stalingrad,1
kirby's dream land,0
super mario land,1
super mario land 2: 6 golden coins,1
wario land: super mario land 3,1
super mario 3d land,1
donkey kong,0
metroid ii: return of samus,1
men of war: assault squad,1
tomb raider ii,1
tomb raider iii: adventures of lara croft,0
tomb raider: the last revelation,1
tomb raider: chronicles,0
tomb raider: legend,1
tomb raider: anniversary,0
tomb raider: underworld,1
world of tanks,1
tales of the abyss,1
tales of xillia,1
tekken tag tournament 2,1
tekken,1
tekken tag tournament,1
tom clancy's ghost recon: shadow wars,1
psychonauts,1
xenogears,1
f1 2011,0
payday: the heist,1
dead or alive: dimensions,0
professor layton and the diabolical box,1
professor layton and the last specter,0
professor layton and the miracle mask,0
fire emblem: the sacred stones,1
skylanders: spyro's adventure,0
goldeneye 007: reloaded,0
streets of rage,0
streets of rage 2,0
otomedius excellent,1
wario land 4,0
mega man,1
mega man 5,0
mega man: dr. wily's revenge,1
mega man x,1
mega man x2,1
mega man x4,1
ratchet & clank: all 4 one,1
chrono trigger,1
chrono cross,1
painkiller: redemption,0
ni no kuni: wrath of the white witch,1
killzone 3,1
defender of the crown,0
terraria,1
homefront,1
zork nemesis: the forbidden lands,1
bastion,1
darkest hour: a hearts of iron game,1
magicka,1
ultimate marvel vs. capcom 3,1
pirates of black cove,1
pride of nations,0
the binding of isaac,1
renegade ops,1
littlebigplanet 2,1
catherine,1
dark souls,1
rabbids go home,0
vagrant story,1
frozen synapse,1
the baconing,0
monster hunter 3 ultimate,1
rock of ages,0
mario kart: super circuit,1
mario kart 7,1
bloodline champions,1
orcs must die!,1
battle for wesnoth,1
puzzle quest: challenge of the warlords,1
temple run,0
motorstorm: apocalypse,0
dragon ball kai: ultimate butouden,0
dragon ball z: ultimate tenkaichi,0
tropico 4,1
bloodrayne: betrayal,0
halo: combat evolved anniversary,1
mario & sonic at the london 2012 olympic games,0
mappy,0
balloon fight,0
pac-man,1
ben 10: galactic racing,0
scooby-doo! first frights,1
ultima iv: quest of the avatar,1
fifa 12,1
anno 2070,1
lineage 2,1
space pirates and zombies,1
machinarium,1
superbrothers: sword & sworcery ep,1
dlc quest,0
rugby challenge,1
unepic,1
battlefield 3: back to karkand,1
thief ii: the metal age,1
baldur's gate,1
max payne,1
max payne 2: the fall of max payne,1
dungeon keeper,1
deus ex,1
mass effect,0
mass effect 3,1
the witcher,1
star wars: knights of the old republic,1
star wars: knights of the old republic ii - the sith lords,1
diablo iii,1
devil may cry,1
devil may cry 2,0
star wars: jedi knight ii - jedi outcast,1
myst,1
stonekeep,1
wolfenstein 3d,1
sacred,1
super mario bros.,1
final fantasy iv,1
simon the sorcerer,1
silent hill: downpour,0
resident evil: the darkside chronicles,0
i am alive,1
phantasy star online 2,1
of orcs and men,1
far cry 3,1
hitman: absolution,1
dishonored,1
ridge racer unbounded,0
the darkness ii,1
carmageddon,1
the lord of the rings online: mines of moria,1
max payne 3,1
resident evil 3: nemesis,1
resident evil: the umbrella chronicles,0
resident evil: operation raccoon city,1
resident evil: revelations,1
halo 4,1
syndicate,1
jagged alliance: back in action,1
borderlands 2,1
gotham city impostors,0
soulcalibur v,0
bloodrayne 2,0
zelda ii: the adventure of link,1
oil rush,1
deep black,0
unstoppable gorg,0
kingdoms of amalur: reckoning,1
the secret world,1
street fighter x tekken,0
super mario bros.: the lost levels,1
new super mario bros. 2,1
resident evil 6,0
metroid,1
castlevania: the adventure,0
call of duty: black ops ii,1
castlevania: symphony of the night,1
castlevania: lament of innocence,0
guild wars 2,1
tales of innocence,1
tales of xillia 2,1
kingdom hearts 3d: dream drop distance,1
phantasy star iv: the end of the millennium,1
phantasy star iii: generations of doom,1
phantasy star ii,1
tekken 3d: prime edition,0
planetside 2,1
assassin's creed iii,1
sleeping dogs,0
darksiders ii,1
awesomenauts,1
lollipop chainsaw,0
ratchet & clank,1
tom clancy's ghost recon: future soldier,1
tom clancy's ghost recon advanced warfighter,0
medal of honor: warfighter,1
xcom: enemy unknown,1
world of warcraft: mists of pandaria,1
natural selection 2,1
torchlight ii,1
dustforce dx,0
journey,1
flower,1
little inferno,1
wizorb,1
counter-strike: global offensive,1
f1 2012,0
the amazing spider-man,0
spec ops: the line,1
tony hawk's pro skater hd,1
dead or alive 5,1
hotline miami,1
war of the roses,0
professor layton vs. phoenix wright: ace attorney,1
metal slug,1
hawken,0
metal slug 3,1
metal slug 4,1
fire emblem: shadow dragon and the blade of light,1
fire emblem: awakening,1
gradius,1
epic mickey 2: the power of two,1
jak and daxter: the precursor legacy,1
jak ii,1
jak 3,1
wipeout 2048,1
soulcalibur,1
spyro 2: ripto's rage!,1
spyro: year of the dragon,1
skylanders: giants,0
zombiu,1
fable: the journey,1
a valley without wind,1
007 legends,1
streets of rage 3,0
wild arms,1
wario land ii,0
wario land 3,0
mega man 2,1
mega man 3,1
mega man 6,0
ratchet & clank: going commando,1
ratchet & clank: up your arsenal,1
painkiller: hell & damnation,0
ratchet & clank: full frontal assault,0
family guy: back to the multiverse,0
painkiller: recurring evil,1
shellshock: nam '67,0
the walking dead: season one,1
baldur's gate: enhanced edition,1
might & magic: duel of champions,0
magic: the gathering - duels of the planeswalkers 2013,1
rift: storm legion,1
fez,1
a game of dwarves,1
krater: shadows over solside,1
naval war: arctic circle,1
yakuza 2,1
yakuza 5,0
plague inc.,1
warlock: master of the arcane,0
blacklight: retribution,1
mark of the ninja,1
dust: an elysian tail,1
trials evolution,0
fifa 13,1
new super mario bros. u,0
nintendo land,0
sonic & all-stars racing transformed,1
the cave,0
mighty switch force! hyper drive edition,0
bioforge,1
canabalt,0
pokémon conquest,1
thomas was alone,1
mario party 9,1
warp,1
deadlight,1
chivalry: medieval warfare,1
quantum conundrum,0
prince of persia,1
dragonsphere,1
motorstorm: rc,0
dragon ball z for kinect,0
game dev tycoon,1
alan wake's american nightmare,1
animal crossing: new leaf,1
adventure time: hey ice king! why'd you steal our garbage?!,1
fallout tactics: brotherhood of steel,1
star wars: jedi knight - jedi academy,1
half-life,1
half-life: opposing force,1
counter-strike,1
the bureau: xcom declassified,1
counter-strike: condition zero,1
metal gear rising: revengeance,0
final fantasy xiv online,1
final fantasy xi online,1
starcraft ii: heart of the swarm,1
bioshock infinite,1
metro: last light,0
magic carpet 2: the netherworlds,0
syberia,1
wizardry 8,1
duke nukem ii,1
duke nukem,1
the last of us,1
grand theft auto v,1
aliens: colonial marines,1
the legend of zelda: a link to the past,1
the legend of zelda: oracle of seasons,1
the legend of zelda: oracle of ages,1
super mario bros. 2,1
super mario bros. 3,1
super mario world,1
donkey kong 3,0
super metroid,1
castlevania,1
castlevania ii: simon's quest,0
super castlevania iv,0
castlevania: lords of shadow - mirror of fate,1
tales of phantasia,0
dead space 3,1
dmc: devil may cry,1
mechwarrior online,1
crysis 3,1
simcity,1
god of war: ascension,0
tom clancy's splinter cell: blacklist,1
gears of war: judgment,1
eve: dust 514,1
brothers: a tale of two sons,1
beyond: two souls,1
flow,1
sniper: ghost warrior 2,1
company of heroes 2,1
professor layton and the azran legacy,1
metal slug 2,1
phoenix wright: ace attorney − dual destinies,1
fire emblem: genealogy of the holy war,1
fire emblem: thracia 776,1
final fight,1
final fight 2,0
advance wars: days of ruin,1
game & wario,0
wario's woods,0
mega man ii,1
mega man iii,0
mega man iv,0
mega man v,1
mega man xtreme,1
mega man xtreme 2,0
ratchet: deadlocked,1
sly cooper: thieves in time,0
dragon quest,1
dragon quest viii: journey of the cursed king,1
remember me,1
fuse,0
mars: war logs,1
the walking dead: survival instinct,0
army of two: the devil's cartel,1
dead island: riptide,1
killzone: mercenary,0
arma 3,1
amnesia: a machine for pigs,1
star trek,1
age of wushu,0
akaneiro: demon hunters,1
command & conquer,1
europa universalis iv,1
gone home,1
neverwinter,1
outlast,1
path of exile,1
warface,1
lost planet 3,1
injustice: gods among us,1
deadpool,1
killzone: shadow fall,1
rayman legends,1
assassin's creed iv: black flag,1
defiance,0
call of juarez: gunslinger,1
battlefield 4,1
saints row iv,1
omikron: the nomad soul,0
stargate sg-1 unleashed,0
far cry 3: blood dragon,1
batman: arkham origins,1
marvel heroes 2016,1
dungeonland,1
evoland,1
fast & furious: showdown,0
call of duty: ghosts,1
poker night 2,1
zeno clash ii,1
slender: the arrival,0
lego marvel super heroes,1
payday 2,1
antichamber,1
need for speed rivals,1
sanctum 2,1
ride to hell: retribution,0
dark,1
forza motorsport 5,1
grid 2,1
war thunder,1
new super luigi u,1
lego city undercover,0
super mario 3d world,1
magic 2014 — duels of the planeswalkers,0
pikmin 3,1
muramasa: the demon blade,1
the legend of zelda: the wind waker hd,1
pokémon x,1
pokémon y,1
spartacus legends,0
mario party: island tour,1
toki tori 2,0
total war: rome ii,1
rise of the triad,1
commander keen: keen dreams,0
lightning returns: final fantasy xiii,1
vendetta online,0
luigi's mansion: dark moon,1
mystery house,1
lords of midnight,0
tomb raider: gold,1
half-life: blue shift,1
thief,1
baldur's gate ii: shadows of amn,1
bioshock,1
indiana jones and the fate of atlantis,1
sam & max hit the road,1
resident evil,1
empire: total war,1
blackthorne,0
the lost vikings,0
wildstar,1
descent 3,0
descent ii,1
icewind dale,1
planescape: torment,1
the longest journey,1
halo 2,1
halo 3,1
the elder scrolls online,1
donkey kong country,1
donkey kong land,0
donkey kong country 2: diddy's kong quest,1
donkey kong land 2,0
donkey kong country 3: dixie kong's double trouble!,1
donkey kong land iii,0
dk: king of swing,1
metroid fusion,1
metroid: zero mission,1
vampire killer,1
castlevania iii: dracula's curse,1
watch_dogs,1
castlevania: circle of the moon,0
castlevania: harmony of dissonance,1
castlevania: aria of sorrow,1
golden sun,1
golden sun: the lost age,1
lufia: the legend returns,1
castlevania: lords of shadow 2,1
tales of symphonia,1
south park: the stick of truth,1
hearthstone,1
tom clancy's ghost recon phantoms,0
fire emblem gaiden,1
fire emblem: the blazing blade,1
suikoden ii,1
kuru kuru kururin,1
salamander,0
mighty final fight,0
advance wars,1
advance wars 2: black hole rising,1
"warioware, inc.: mega microgames!",1
mega man 7,1
mega man 8,1
mega man battle network,1
mega man battle network 2,1
mega man battle network 3 white,1
mega man battle chip challenge,1
mega man zero,0
dragon quest ii: luminaries of the legendary line,1
dragon quest iii: the seeds of salvation,1
dragon quest iv: chapters of the chosen,1
dragon quest v: hand of the heavenly bride,1
descent,0
carmageddon tdr 2000,1
dragon age: inquisition,1
black & white 2,1
destiny,1
driveclub,1
infamous: second son,1
alone in the dark,1
dreamfall chapters,1
banished,1
magicka: wizard wars,1
wolfenstein: the new order,1
titanfall,1
grimgrimoire,1
bayonetta 2,0
the crew,1
bloodnet,1
the last tinker: city of colors,1
mario kart 8,1
dark souls ii,1
realms of arkania: star trail,1
nam,1
dragon ball z: battle of z,0
teenage mutant ninja turtles: out of the shadows,0
caller's bane,1
battleblock theater,1
bubble bobble,0
starforge,0
flatout,1
flatout 2,1
duck hunt,1
project spark,0
dead island: epidemic,0
warframe,1
donkey kong country: tropical freeze,0
broken sword 5: the serpent's curse,1
disney infinity,0
"papers, please",1
takedown: red sabre,0
the vanishing of ethan carter,1
elite: dangerous,1
planetary annihilation,1
surgeon simulator 2013,1
the wolf among us,1
tri: of friendship and madness,0
transistor,1
middle-earth: shadow of mordor,1
spelunky,1
ftl: faster than light,1
"about love, hate and the other ones",1
broken age,1
wrc 4 fia world rally championship,0
the dark eye: demonicon,1
battlefield 4: second assault,1
battlefield 4: naval strike,1
battlefield 4: dragon's teeth,0
battlefield 4: final stand,0
the walking dead: season two,1
door kickers,1
wasteland 2,1
godus,1
plants vs. zombies: garden warfare,1
don't starve,1
world of warcraft: warlords of draenor,1
risk of rain,1
diablo iii: reaper of souls,1
afterlife,1
the dig,1
duke nukem 3d,1
final fantasy vii,1
starcraft ii: legacy of the void,1
prototype,1
halo 3: odst,1
the legend of zelda: ocarina of time,1
the legend of zelda: phantom hourglass,1
the legend of zelda: spirit tracks,1
super mario 64,1
new super mario bros.,0
super mario galaxy,1
donkey kong 64,1
dk: jungle climber,1
metroid prime hunters,0
metroid prime 3: corruption,0
metroid prime: trilogy,1
dark cloud,1
prison architect,1
fire emblem: the binding blade,1
fire emblem: shadow dragon,1
suikoden iii,1
sin and punishment,0
gradius v,0
pocky & rocky with becky,0
pillars of eternity,1
prisoner of ice,1
final fight one,0
wario: master of disguise,0
warioware: touched!,1
mega man & bass,1
mega man x8,0
mega man battle network 3 blue,0
mega man battle network 4 red sun,1
mega man battle network 5: team protoman,0
mega man battle network 5: team colonel,1
mega man zero 2,0
mega man zero 3,0
mega man zero 4,1
war for the overworld,1
carmageddon: reincarnation,1
the witcher 3: wild hunt,1
metal gear solid v: the phantom pain,1
star wars battlefront,1
hotline miami 2: wrong number,1
punch-out!!,0
zack & wiki: quest for barbaros' treasure,1
mario kart ds,1
xenoblade chronicles x,1
mad max,1
sonic lost world,0
the incredible adventures of van helsing,1
animal crossing: wild world,1
lego star wars: the complete saga,1
kirby 64: the crystal shards,0
the mighty quest for epic loot,1
dig dug ii: trouble in paradise,1
big brain academy,1
ducktales: remastered,1
scribblenauts unlimited,0
survarium,1
prototype 2,1
nihilumbra,1
the stanley parable,1
dying light,1
the order: 1886,1
euro truck simulator 2,1
kerbal space program,1
dream,1
electronic super joy,1
dungeon defenders ii,1
war of the monsters,0
tropico 5,1
the sims 4,1
rogue legacy,1
nuclear throne,1
back to the future: the game,1
arcania: gothic 4,1
grand theft auto: liberty city stories,1
1080° snowboarding,0
paper mario,1
mario & luigi: partners in time,1
harvest moon: friends of mineral town,1
mario golf,1
mario tennis,1
f-zero: gp legend,1
re-volt,1
wave race 64,1
adventures of lolo,1
mother 3,1
kirby: canvas curse,0
kirby: squeak squad,0
kirby mass attack,0
kirby's return to dream land,0
pajama sam 3: you are what you eat from your head to your feet,1
evolve,1
air conflicts: pacific carriers,0
mario sports mix,1
tomba! 2 : the evil swine return,0
star wars: bounty hunter,1
sonic the hedgehog 2,1
snake rattle n roll,0
pier solar and the great architects,1
poképark wii: pikachu's adventure,1
the legend of kage,1
hogan's alley,0
wild gunman,1
the age of decadence,1
brunswick pro bowling,1
alien: isolation,1
d4: dark dreams don't die - season 1,1
ea sports ufc,0
octodad: dadliest catch,1
halo: spartan assault,1
draw a stickman: epic,1
deponia,1
pandora's tower,1
project cars,1
tokyo mirage sessions #fe,1
goat simulator,1
after burner ii,0
twisted metal: black,0
super mario rpg: legend of the seven stars,0
q.u.b.e.,0
batman: arkham knight,1
cannon fodder,0
oddworld: new 'n' tasty,1
strife,1
world of warships,1
pixel piracy,0
smite,1
forced,1
costume quest 2,1
ether one,0
raiden iv overkill,0
donkey kong jr. math,1
steamworld dig,1
futurama,0
the swapper,1
broforce,1
resogun,1
viscera cleanup detail,1
borderlands: the pre-sequel,1
"invisible, inc.",1
not a hero,1
shadow warrior,1
blood bowl 2,0
hitman go,1
star wars: jedi starfighter,1
jade empire: special edition,1
the last guardian,1
star wars: rogue squadron,1
final fantasy xv,1
final fantasy tactics advance,1
medieval ii: total war,1
medieval ii: total war - kingdoms,1
marvel: ultimate alliance 2,1
resident evil 5,0
the legend of zelda: majora's mask,1
dark cloud 2,1
ty the tasmanian tiger,0
apollo justice: ace attorney,0
pokémon blue,1
pokémon yellow,1
pokémon red,1
wild arms 3,1
advance wars: dual strike,1
wario land: shake it!,0
warioware: smooth moves,1
mega man legends 2,0
mega man battle network 6: cybeast falzar,0
mega man battle network 6: cybeast gregar,0
homefront: the revolution,1
grim dawn,1
indigo prophecy,1
rayman,1
red dead revolver,1
manhunt,1
mirror's edge catalyst,1
tom clancy's the division,1
new super mario bros. wii,1
super paper mario,0
mlb the show 16,1
mario strikers charged,0
pokémon mystery dungeon: red rescue team,1
pokémon mystery dungeon: blue rescue team,1
pokémon mystery dungeon: explorers of sky,0
pokémon snap,1
mario party ds,1
mario kart 64,1
star fox 64,1
destroy all humans!,0
destroy all humans! 2,0
bully,1
earthbound,1
cobalt,1
starbound,1
a virus named tom,1
dear esther,1
lego harry potter: years 1-4,1
lego harry potter: years 5-7,1
mad father,1
yoshi's story,0
no man's sky,1
a dark room,1
excitebike 64,1
f-zero x,1
f-zero,1
kirby's dream course,1
kid icarus,1
quantum break,1
dragon's dogma,1
mario super sluggers,1
mario hoops 3-on-3,1
pokémon ranger: guardian signs,0
city connection,0
a boy and his blob,0
conception ii: children of the seven stars,1
child of light,1
classic british motor racing,1
dead rising,0
excitebots: trick racing,1
little king's story,1
lost in shadow,1
marvel: ultimate alliance,1
metal slug anthology,0
monster jam,1
rainbow moon,1
scribblenauts unmasked: a dc comics adventure,1
phantom brave,1
secret files: tunguska,1
snk arcade classics vol. 1,1
mighty no. 9,1
metal gear solid v: ground zeroes,1
pixeljunk monsters,1
sonic cd,1
the banner saga,1
reus,1
wonder boy,0
planet explorers,1
7 days to die,1
awesomenauts assemble!,1
assetto corsa,1
the witness,1
runescape,1
nosgoth,1
blazblue: chrono phantasma,1
grand theft auto: the trilogy,1
dead rising 2: off the record,0
kingdom rush frontiers,1
the warriors,1
ape escape 2,1
severed,1
glitchspace,1
the incredible adventures of van helsing ii,1
1941: counter attack,0
state of emergency 2,0
red faction,1
black desert,1
xanadu next,1
breath of fire ii,1
contra iii: the alien wars,0
drill dozer,0
tales of zestiria,1
mario vs. donkey kong 2: march of the minis,0
polarium advance,1
art of balance,1
art of fighting 2,0
sonic advance 2,0
sonic advance 3,0
super ghouls 'n ghosts,0
mother russia bleeds,1
edna & harvey: harvey's new eyes,1
street fighter alpha 2,0
killing floor 2,1
code of princess,1
loading human,0
bombshell,0
lego legends of chima: laval's journey,1
r-type,1
space hulk: deathwing,0
blue dragon,1
deathsmiles,1
edge of twilight – return to glory,1
guilty gear 2: overture,1
steins;gate,1
earthlock: festival of magic,1
superhot,1
battle worlds: kronos,1
way of the samurai 3,0
pulstar,0
maniac mansion,1
final fantasy adventure,1
rome: total war - barbarian invasion,1
rome: total war - alexander,1
turok: dinosaur hunter,1
ty the tasmanian tiger 2: bush rescue,0
pokémon silver,1
jak x: combat racing,1
pokémon gold,1
james bond 007: everything or nothing,1
fortnite,1
torment: tides of numenera,1
pikmin 2,1
rayman: raving rabbids,1
battle chess,0
de blob,0
vanquish,1
castle story,1
the revenge of shinobi,0
harvest moon 64,1
bomberman '94,0
ogre battle 64: person of lordly caliber,1
red faction ii,1
sphinx and the cursed mummy,0
samurai shodown,0
fatal fury 2,0
world heroes,0
space harrier ii,0
art of fighting,0
de blob 2,1
max: the curse of brotherhood,1
to the moon,1
chaos on deponia,1
south park: the fractured but whole - steelbook gold edition,0
fatal fury special,0
sengoku,0
stonehearth,1
overgrowth,1
hover: revolt of gamers,1
bullet soul infinite burst,1
dr kawashima's devilish brain training,1
syberia ii,1
grid: autosport,1
gem smashers,1
io,0
mario vs. donkey kong,0
art of fighting 3: the path of the warrior,0
stick it to the man!,0
zero escape: virtue's last reward,1
a hat in time,1
the crow's eye,1
rise & shine,1
aero fighters 2,0
puyo puyo tetris,1
naruto shippuden: ultimate ninja storm 2,1
freedom planet,1
the inner world,1
a story about my uncle,0
always sometimes monsters,1
dreadnought,0
phantom dust,0
inside,1
the legend of zelda: breath of the wild,1
mass effect: andromeda,1
get even,0
little busters!,0
the talos principle,1
tekken 7,1
crimsonland,1
life is strange,1
hellblade: senua's sacrifice,1
rime,0
"warhammer 40,000: eternal crusade",0
teslagrad,0
deathtrap,1
salt and sanctuary,1
resident evil: revelations 2,1
the binding of isaac: rebirth,1
bonk's revenge,1
skyforge,1
kingdom hearts hd 2.5 remix,1
america's army: proving grounds,1
i am bread,1
robocraft,1
race the sun,1
unturned,0
hammerwatch,1
kholat,1
verdun,1
cave story+,1
tacoma,1
lethal league,0
blackguards 2,1
minecraft: story mode,1
the long dark,1
orcs must die! 2,1
the bridge,0
volgarr the viking,0
warhammer quest,1
elliot quest,0
age of zombies,0
assault android cactus,0
aztez,0
axiom verge,1
dreaming sarah,1
world of speed,1
n++,1
sunless sea,1
mutant mudds deluxe,1
darkest dungeon,1
obduction,1
chroma squad,1
cuphead,1
strafe,1
cities: skylines,1
reflex arena,0
gorogoa,1
little nightmares,1
victor vran,1
subject 13,1
the escapists,1
eve: valkyrie,1
back to bed,1
tango fiesta,0
so many me,0
the next penelope,0
speedrunners,1
"zero escape: nine hours, nine persons, nine doors",1
towerfall ascension,1
